Upreglated in liver ILC1/ liver NK,FC: ILC1/NK,P-value,Upreglated in liver NK/ liver ILC1,FC: NK/ILC1,P-value,Upreglated in spleen ILC1/ spleen NK,FC: ILC1/NK,P-value,Upreglated in spleen NK/ spleen ILC1,FC: NK/ILC1,P-value,Upreglated in siLP ILC1/ siLP NK,FC: ILC1/NK,P-value,Upreglated in siLP NK/ siLP ILC1,FC: NK/ILC1,P-value,Upreglated in liver ILC1/spleen ILC1,FC: liver ILC1/ spleen ILC1,P-value,Upreglated in spleen ILC1/liver ILC1,FC: spleen ILC1 /liver ILC1,P-value,,
Il2ra,2.32,0.03157,Gnptab,2.28,0.03301,,,,,,,,,,,,,,,,Treml2,2.30,0.00002,,
LOC100504914,2.32,0.01408,Fert2,2.27,0.00213,,,,,,,,,,,,,,,,Pik3r5,2.29,0.02179,,
Gbp8,2.32,0.00344,Fry,2.26,0.01286,,,,,,,,,,,,,,,,Cobll1,2.28,0.00492,,
Rabgap1l,2.31,0.00312,Arl4c,2.26,0.00640,,,,,,,,,,,,,,,,Raph1,2.28,0.00479,,
Chad,2.28,0.01268,Satb1,2.26,0.00790,,,,,,,,,,,,,,,,Trat1,2.27,0.00622,,
Gm7265,2.25,0.01822,Hist1h2ak,2.25,0.03955,,,,,,,,,,,,,,,,Uhrf1bp1l,2.27,0.00138,,
Dkkl1,2.25,0.01435,Hist1h3e,2.25,0.01460,,,,,,,,,,,,,,,,Arap2,2.26,0.00272,,
Tspan14,2.25,0.00167,Hist1h3i,2.24,0.01275,,,,,,,,,,,,,,,,Fam65b,2.24,0.00092,,
Sh3bp2,2.24,0.00846,Ccl9,2.23,0.02943,,,,,,,,,,,,,,,,Rnf144a,2.23,0.00047,,
St14,2.23,0.00144,Rps18,2.23,0.03051,,,,,,,,,,,,,,,,Etv6,2.22,0.00097,,
Myo6,2.21,0.00800,Plscr4,2.23,0.01476,,,,,,,,,,,,,,,,Bin2,2.22,0.00040,,
Ptpn3,2.20,0.01237,Gm5167,2.21,0.03280,,,,,,,,,,,,,,,,Rnf138,2.21,0.01842,,
AB041803,2.20,0.01285,Btf3l4,2.21,0.01472,,,,,,,,,,,,,,,,Kcnab2,2.20,0.00157,,
Susd3,2.20,0.00369,Hist1h4c,2.21,0.01523,,,,,,,,,,,,,,,,Sigmar1,2.19,0.01953,,
Pde7a,2.19,0.00969,Hist1h3c,2.21,0.01694,,,,,,,,,,,,,,,,Atp11b,2.19,0.00646,,
Pygl,2.19,0.00005,Cd9,2.20,0.00154,,,,,,,,,,,,,,,,Klhdc2,2.17,0.01578,,
Fam134b,2.17,0.00545,Lgals1,2.19,0.00796,,,,,,,,,,,,,,,,Cdc25b,2.17,0.00038,,
Fgl2,2.16,0.00525,Hist1h3b,2.19,0.01596,,,,,,,,,,,,,,,,Foxo1,2.17,0.00352,,
Sik1,2.15,0.00276,Hist1h3d,2.19,0.01684,,,,,,,,,,,,,,,,Runx2,2.16,0.00178,,
Il4ra,2.14,0.00412,Scpep1,2.19,0.03877,,,,,,,,,,,,,,,,Cdk6,2.16,0.00521,,
Slc27a6,2.13,0.01382,Memo1,2.19,0.00514,,,,,,,,,,,,,,,,Gprin3,2.16,0.00002,,
Inpp4a,2.12,0.02325,Hist1h3a,2.18,0.01614,,,,,,,,,,,,,,,,Ikzf2,2.16,0.00177,,
Chst15,2.12,0.00125,Sgk3,2.18,0.00157,,,,,,,,,,,,,,,,Thtpa,2.15,0.01792,,
Il12rb1,2.11,0.00420,Hist1h3h,2.18,0.01562,,,,,,,,,,,,,,,,H2afz,2.15,0.00853,,
Gbp4,2.10,0.00374,Hist1h3g,2.17,0.01645,,,,,,,,,,,,,,,,Nsg2,2.14,0.00053,,
Cdc42ep1,2.10,0.00062,Nt5c3,2.16,0.02733,,,,,,,,,,,,,,,,Atp8b4,2.14,0.01153,,
Dtx3,2.10,0.01367,Lef1,2.15,0.02115,,,,,,,,,,,,,,,,Fam124b,2.14,0.02097,,
Gpnmb,2.10,0.00462,Hint1,2.13,0.02875,,,,,,,,,,,,,,,,Ccdc52,2.14,0.00299,,
Tgtp1,2.09,0.01839,Gpr137b-ps,2.13,0.01127,,,,,,,,,,,,,,,,Cdc14b,2.13,0.00145,,
Crot,2.08,0.00213,Ier5,2.12,0.02850,,,,,,,,,,,,,,,,St3gal1,2.12,0.00030,,
Cd200r4,2.08,0.00158,Nt5c,2.12,0.00289,,,,,,,,,,,,,,,,Vcl,2.11,0.00156,,
Igsf5,2.08,0.00331,A930038C07Rik,2.12,0.01562,,,,,,,,,,,,,,,,Fbxl2,2.11,0.00025,,
Qpct,2.07,0.02068,S1pr4,2.12,0.01300,,,,,,,,,,,,,,,,Zc3h12d,2.10,0.00062,,
Zbtb38,2.07,0.00231,Rpl31,2.11,0.04652,,,,,,,,,,,,,,,,Rps6ka5,2.09,0.01080,,
Gimap3,2.06,0.00017,Rpl36a,2.11,0.02852,,,,,,,,,,,,,,,,Nrarp,2.09,0.00062,,
Abcg3,2.05,0.03130,Rps28,2.11,0.00920,,,,,,,,,,,,,,,,P2ry14,2.09,0.00121,,
Pltp,2.05,0.00531,Glud1,2.10,0.01652,,,,,,,,,,,,,,,,Gnptab,2.08,0.00658,,
Lrp5,2.05,0.00020,Cox4i1,2.09,0.01902,,,,,,,,,,,,,,,,Rap2b,2.08,0.00390,,
P2rx4,2.04,0.00198,Gm15772,2.09,0.01766,,,,,,,,,,,,,,,,Myb,2.08,0.00009,,
Cdon,2.03,0.00003,Hist2h3b,2.09,0.02727,,,,,,,,,,,,,,,,Pfkp,2.08,0.00472,,
Acsbg1,2.02,0.00033,Arl6ip5,2.07,0.00514,,,,,,,,,,,,,,,,Sgk3,2.07,0.02012,,
Serpina3f,2.02,0.02020,Rpl24,2.07,0.04716,,,,,,,,,,,,,,,,Xylt1,2.06,0.00003,,
Bcl2a1a,2.01,0.01413,Hist2h3c1,2.07,0.02857,,,,,,,,,,,,,,,,St6gal1,2.05,0.00150,,
Pdcd1lg2,2.01,0.01565,Gm10136,2.06,0.02099,,,,,,,,,,,,,,,,Arl2bp,2.04,0.00659,,
Xcl1,2.00,0.00079,Gzmk,2.05,0.01298,,,,,,,,,,,,,,,,Rnf157,2.04,0.00682,,
,,,Rps19,2.04,0.00840,,,,,,,,,,,,,,,,Ctla2b,2.03,0.00274,,
,,,Rnf125,2.04,0.04254,,,,,,,,,,,,,,,,Psd2,2.03,0.01274,,
,,,Dmrta1,2.04,0.01686,,,,,,,,,,,,,,,,Pola1,2.03,0.01872,,
,,,2010107E04Rik,2.03,0.01957,,,,,,,,,,,,,,,,Top2a,2.03,0.02683,,
,,,Add3,2.03,0.03552,,,,,,,,,,,,,,,,Elmo1,2.03,0.00143,,
,,,Klhl30,2.03,0.00532,,,,,,,,,,,,,,,,Amd1,2.03,0.01506,,
,,,Hist1h2an,2.03,0.02197,,,,,,,,,,,,,,,,Nck2,2.02,0.00550,,
,,,Itgb1,2.02,0.00094,,,,,,,,,,,,,,,,Eml3,2.02,0.00173,,
,,,Hist2h2aa1,2.02,0.02464,,,,,,,,,,,,,,,,H2-Oa,2.02,0.00694,,
,,,Rps23,2.01,0.02554,,,,,,,,,,,,,,,,Atp1a1,2.02,0.00114,,
,,,Tspan13,2.01,0.03208,,,,,,,,,,,,,,,,Il17ra,2.01,0.00117,,
,,,Rpl26,2.01,0.02348,,,,,,,,,,,,,,,,Mfsd6,2.01,0.00725,,
,,,Hist2h2ab,2.01,0.03159,,,,,,,,,,,,,,,,Ifi44,2.01,0.00100,,
,,,Arl5c,2.00,0.00168,,,,,,,,,,,,,,,,Atp10a,2.01,0.00224,,
,,,Rps14,2.00,0.03258,,,,,,,,,,,,,,,,Tmem141,2.01,0.00135,,
,,,,,,,,,,,,,,,,,,,,,Coro7,2.00,0.00054,,
,,,,,,,,,,,,,,,,,,,,,,,,,
